Title,Price,Manufacturer,Category,Fuel Type,Fiscal Horsepower,Transmission,Mileage,Year,Insertion Date
Audi S3,128000,Audi,Citadine,Essence,19,Automatique,120000,06.2014,26.02.2024
Mahindra Scorpio Pick-up DC,32000,Mahindra,Pick up,Diesel,7,Manuelle,85000,11.2020,26.02.2024
Fiat Doblo,56000,Fiat,Monospace,Essence,6,Manuelle,32000,07.2021,26.02.2024
Ford Fusion,45000,Ford,Berline,Essence,9,Manuelle,200000,11.2015,26.02.2024
MG GS AWD 2.0,61000,MG,SUV/4x4,Essence,13,Automatique,100000,06.2017,26.02.2024
BMW Série 7 Individuel,45000,BMW,Berline,Essence,22,Automatique,300000,01.2008,26.02.2024
Mercedes-Benz GLC Coupé 200 hybrid,450000,Mercedes,SUV/4x4,Hybride essence,11,Automatique,0,01.2024,26.02.2024
Geely GC6,35000,Geely,Berline,Essence,6,Manuelle,49000,09.2020,26.02.2024
Porsche Cayenne GTS,326000,Porsche,SUV/4x4,Essence,33,Automatique,79000,08.2016,26.02.2024
Dongfeng S50,44000,Dongfeng,Berline,Essence,6,Manuelle,91000,10.2019,26.02.2024
Mercedes-Benz Classe S S350. Toit ouvrant,98000,Mercedes,Berline,Essence,19,Automatique,147000,01.2009,26.02.2024
Mercedes-Benz GLC Coupé 300e,248000,Mercedes,SUV/4x4,Hybride rechargeable essence,10,Automatique,32000,09.2021,26.02.2024
Volkswagen Golf 7 Highline,76000,Volkswagen,Compacte,Essence,6,Automatique,125800,12.2018,26.02.2024
Volkswagen Golf 7,59900,Volkswagen,Citadine,Essence,6,Automatique,170000,04.2019,26.02.2024
Ford Figo,23000,Ford,Citadine,Essence,5,Manuelle,152000,03.2014,26.02.2024
Land Rover Discovery,132000,Land Rover,SUV/4x4,Diesel,11,Automatique,108000,08.2015,26.02.2024
Fiat Doblo,31000,Fiat,Utilitaire,Diesel,5,Manuelle,99000,12.2019,26.02.2024
Nissan Juke Nouveau modèle,74000,Nissan,SUV/4x4,Essence,6,Manuelle,60000,05.2021,26.02.2024
Land Rover Range Rover Evoque R DYNAMIC S,199000,Land Rover,SUV/4x4,Essence,12,Automatique,77000,05.2020,26.02.2024
Fiat Fiorino,39000,Fiat,Utilitaire,Diesel,5,Manuelle,26500,03.2022,26.02.2024
Mercedes-Benz Classe E,36000,Mercedes,Berline,Essence,10,Automatique,276000,12.2003,26.02.2024
Volkswagen Jetta,34000,Volkswagen,Berline,Diesel,6,Manuelle,349000,03.2010,26.02.2024
Mercedes-Benz Classe C KIT AMG,175600,Mercedes,Berline,Essence,8,Automatique,128000,06.2019,26.02.2024
Mercedes-Benz Classe A 250e,165000,Mercedes,Utilitaire,Hybride rechargeable essence,6,Automatique,50000,01.2021,26.02.2024
Mercedes-Benz Classe C,98000,Mercedes,Citadine,Essence,8,Automatique,123000,11.2016,26.02.2024
Mahindra KUV 100,35900,Mahindra,SUV/4x4,Essence,5,Manuelle,26000,01.2022,26.02.2024
Volkswagen Golf 8 conforline,116500,Volkswagen,Berline,Essence,8,Manuelle,47000,08.2020,26.02.2024
Land Rover Discovery Sport,118000,Land Rover,SUV/4x4,Diesel,8,Automatique,94000,10.2016,26.02.2024
Renault Megane,74500,Renault,Citadine,Essence,7,Automatique,46000,01.2021,26.02.2024
Citroën C3,35900,Citroën,Citadine,Essence,4,Manuelle,55000,06.2020,26.02.2024
Skoda Octavia,124000,Skoda,Berline,Essence,8,Automatique,21000,02.2022,26.02.2024
KIA Sportage,87000,KIA,SUV/4x4,Essence,8,Automatique,53000,05.2018,26.02.2024
KIA Sportage,95000,KIA,SUV/4x4,Essence,8,Automatique,65000,09.2019,26.02.2024
Porsche Cayenne GTS 4.8 cm3 33 cv,98000,Porsche,SUV/4x4,Essence,33,Automatique,148000,01.2009,26.02.2024
Citroën Berlingo Multispace,53000,Citroën,Monospace,Essence,7,Manuelle,145000,07.2018,26.02.2024
Audi A3,142000,Audi,Citadine,Hybride essence,8,Automatique,1000,11.2023,26.02.2024
Peugeot 3008,80000,Peugeot,SUV/4x4,Essence,7,Automatique,169000,05.2020,26.02.2024
Volkswagen Passat,85000,Volkswagen,Berline,Diesel,6,Automatique,122000,03.2019,26.02.2024
Cupra Formentor Hight-grade   2L,166500,Cupra,Pick up,Essence,11,Automatique,31000,06.2022,26.02.2024
BMW Série 5 LUXYRY LINE,168000,BMW,Berline,Essence,10,Automatique,46000,04.2018,26.02.2024
Volkswagen Passat,34500,Volkswagen,Berline,Diesel,6,Manuelle,330000,09.2008,26.02.2024
Haval H6,77000,Haval,SUV/4x4,Essence,9,Automatique,120000,12.2020,26.02.2024
Peugeot 3008,85000,Peugeot,Citadine,Essence,9,Automatique,60000,11.2017,26.02.2024
Hyundai Grand i10,39500,Hyundai,Citadine,Essence,5,Automatique,73000,10.2018,26.02.2024
Mercedes-Benz GLA KIT AMG,212000,Mercedes,SUV/4x4,Essence,9,Automatique,19000,09.2021,26.02.2024
MG GT,36500,MG,Berline,Essence,6,Manuelle,191000,12.2017,26.02.2024
Jaguar E-Pace R-DYNAMIC,275000,Jaguar,Compacte,Essence,12,Automatique,30000,08.2021,26.02.2024
Ford Fiesta,27900,Ford,Citadine,Essence,5,Manuelle,184000,03.2011,26.02.2024
Porsche Cayenne V6 PACK NIGHT 3.6L,159000,Porsche,SUV/4x4,Essence,21,Automatique,198000,08.2012,26.02.2024
Volkswagen Golf 6,39900,Volkswagen,Citadine,Essence,5,Manuelle,168000,03.2012,26.02.2024
KIA Rio 5p GT Line,65500,KIA,Compacte,Essence,5,Manuelle,17000,01.2021,16.02.2024
BMW Série 7 740I FACE-LIFT,55000,BMW,Berline,Essence,22,Automatique,220000,01.2008,26.02.2024
Ford Ecosport Titanium +,74000,Ford,SUV/4x4,Essence,7,Automatique,22000,06.2021,16.02.2024
BMW Série 2 Active Tourer Pack M,82000,BMW,Monospace,Essence,7,Automatique,140000,09.2015,16.02.2024
Chevrolet Captiva AWD 7 places,73000,Chevrolet,SUV/4x4,Diesel,10,Automatique,160000,06.2016,16.02.2024
Suzuki Dzire,38500,Suzuki,Berline,Essence,5,Manuelle,114000,01.2021,26.02.2024
Volkswagen Passat,34000,Volkswagen,Berline,Diesel,6,Manuelle,268000,03.2009,26.02.2024
Toyota Prado,195000,Toyota,SUV/4x4,Essence,11,Manuelle,50000,02.2014,26.02.2024
Mercedes-Benz CLA Buisness,93000,Mercedes,Berline,Essence,7,Automatique,100000,10.2016,16.02.2024
BMW Série 4 Coupé,110000,BMW,Coupé,Essence,7,Automatique,78000,03.2017,26.02.2024
Mercedes-Benz CLA,155000,Mercedes,Berline,Essence,7,Automatique,59000,12.2019,26.02.2024
BMW Série 3,85000,BMW,Berline,Essence,7,Automatique,152000,05.2016,26.02.2024
Mercedes-Benz Classe S KIT AMG  jantes 20’’,125500,Mercedes,Berline,Essence,18,Automatique,165000,04.2010,26.02.2024
Nissan Juke,42000,Nissan,SUV/4x4,Essence,7,Manuelle,160000,06.2014,26.02.2024
Mercedes-Benz GLC Coupé GLC 200 COUPE,440000,Mercedes,SUV/4x4,Hybride essence,11,Automatique,0,09.2023,26.02.2024
Porsche Cayenne Coupé,445000,Porsche,SUV/4x4,Essence,25,Automatique,67000,02.2020,26.02.2024
BMW Série 1 Sport line,118000,BMW,Compacte,Essence,8,Automatique,80000,03.2020,26.02.2024
BMW X1,88000,BMW,SUV/4x4,Essence,7,Automatique,110000,04.2016,26.02.2024
Seat Leon,70000,Seat,Citadine,Essence,6,Manuelle,66000,09.2020,26.02.2024
Land Rover Range Rover Evoque,115000,Land Rover,SUV/4x4,Essence,15,Automatique,138000,04.2016,26.02.2024
Volkswagen Golf 8,99900,Volkswagen,Citadine,Essence,6,Manuelle,40000,07.2021,26.02.2024
Volkswagen Golf 7,64000,Volkswagen,Citadine,Essence,6,Manuelle,142000,05.2018,26.02.2024
Land Rover Range Rover Sport,245000,Land Rover,SUV/4x4,Diesel,15,Automatique,160000,08.2014,26.02.2024
Audi Q5,98000,Audi,SUV/4x4,Diesel,10,Automatique,164000,07.2014,26.02.2024
BMW Série 4 Gran Coupé Luxury,130000,BMW,Berline,Essence,7,Automatique,140000,10.2019,16.02.2024
Mercedes-Benz CLA KIT AMG,128000,Mercedes,Berline,Essence,6,Automatique,21000,08.2018,26.02.2024
Mercedes-Benz Classe E,46900,Mercedes,Berline,Essence,10,Automatique,128000,07.2004,26.02.2024
Audi A5 Sportback,185000,Audi,Citadine,Essence,8,Automatique,70000,01.2021,26.02.2024
KIA Rio Berline,76900,KIA,Berline,Essence,6,Manuelle,1000,11.2023,26.02.2024
Audi A6,34500,Audi,Berline,Essence,11,Automatique,203000,08.2008,26.02.2024
